Artwork_Name,Artist Name,Artist Reputation,Sculpture_Type,Material,Height,Width,Weight,Creation_Year,Artwork_Age,Artist_Alive,Aesthetic_Descriptor,Provenance,Previous_Auction_Price,Price
Contemporary_Patricia_14,Patricia Crosslin,0.69,Contemporary,Brass,21.0,6.0,3954.0,1912,113,No,Rustic,Inherited Estate,14.17,14.03
Minimalist_Raul_15,Raul White,0.72,Minimalist,Stone,44.0,12.0,4991242.0,1948,77,No,Elegant,Museum Deaccession,23333.67,29625.6
Contemporary_Esther_16,Esther Simmons,0.27,Contemporary,Stone,10.0,4.0,11909.0,1874,151,No,Intricate,Auctioned in New York,18.38,29.47
Abstract_Pete_17,Pete Oh,0.1,Abstract,Marble,37.0,9.0,239463.0,1856,169,No,Rustic,Private Collection,624.31,771.98
Modern_Ralph_18,Ralph Mangum,0.11,Modern,Bronze,19.0,14.0,7976.0,1959,66,Yes,Minimal,Auctioned in London,5.25,7.1
Classical_Jennifer_19,Jennifer Johnson,0.54,Classical,Stone,,,65103.0,1879,146,No,Expressive,Auctioned in London,124.79,165.05
Abstract_Kathryn_20,Kathryn Dodge,0.59,Abstract,,20.0,9.0,198.0,1919,106,No,Expressive,Museum Deaccession,4.17,5.56
Abstract_Laura_21,Laura Price,0.11,Abstract,Marble,,9.0,216919.0,1873,152,No,Minimal,Auctioned in London,244.05,263.03
Modern_John_22,John Blair,0.66,Modern,Aluminium,9.0,5.0,184.0,1907,118,No,Elegant,Private Collection,5.73,6.9
Modern_Georgia_23,Georgia Andrus,0.57,Modern,Stone,29.0,9.0,745770.0,1956,69,Yes,Expressive,Acquired from Artist,2871.72,3403.92
Classical_Ma_24,Ma Sova,0.43,Classical,Marble,24.0,8.0,261562.0,1881,144,No,Expressive,Auctioned in London,1519.18,1562.1
Classical_Mark_25,Mark Davis,,Classical,,10.0,4.0,174.0,1868,157,No,Minimal,Auctioned in London,5.21,6.63
Classical_Chris_26,Chris Gomez,0.2,Classical,Brass,25.0,9.0,7901.0,1914,111,No,Minimal,Inherited Estate,6.43,8.56
Minimalist_Nicole_27,Nicole Bice,0.47,Minimalist,Aluminium,28.0,15.0,985.0,1958,67,Yes,Vibrant,Inherited Estate,4.24,6.76
Modern_Marian_28,Marian Castillo,0.51,Modern,,16.0,8.0,63720.0,1971,54,Yes,Polished,Museum Deaccession,160.3,151.19
Classical_Cheyenne_29,Cheyenne Witt,0.67,Classical,Wood,17.0,6.0,182.0,1949,76,No,Intricate,Private Collection,4.72,6.0
Modern_Eunice_30,Eunice Winkler,0.56,Modern,Marble,20.0,8.0,53954.0,1856,169,No,Minimal,Inherited Estate,120.36,162.93
Minimalist_Henry_31,Henry Humphrey,0.25,Minimalist,Marble,10.0,4.0,4900.0,2000,25,Yes,Rustic,Inherited Estate,20.11,25.83
Renaissance_Viola_32,Viola Lackland,0.31,Renaissance,Aluminium,13.0,7.0,449.0,1972,53,Yes,Elegant,Museum Deaccession,3.72,4.91
Renaissance_Robert_33,Robert Torres,0.57,Renaissance,,6.0,4.0,79.0,2003,22,Yes,Rustic,Auctioned in London,4.85,4.71
Minimalist_Michael_34,Michael Doyle,0.01,Minimalist,,,5.0,88.0,1872,153,No,Expressive,Auctioned in New York,5.28,6.51
Baroque_Alejandro_35,Alejandro Reyes,0.68,Baroque,Clay,8.0,5.0,301.0,2018,7,Yes,Elegant,Private Collection,4.7,4.38
Renaissance_Amber_36,Amber Gutierrez,0.23,Renaissance,Aluminium,16.0,8.0,358.0,1901,124,No,Elegant,Auctioned in New York,3.32,3.26
Baroque_Stefan_37,Stefan Moquin,0.52,Baroque,Wood,36.0,17.0,593.0,1873,152,No,Intricate,Museum Deaccession,3.79,3.86
Modern_Magdalena_38,Magdalena Jordan,0.59,Modern,Brass,22.0,15.0,16046.0,1860,165,No,Minimal,Acquired from Artist,96.12,99.52
Modern_Gail_39,Gail Stalvey,0.01,Modern,Clay,16.0,7.0,1002.0,1950,75,No,Polished,Museum Deaccession,2.75,4.15
Modern_Luna_40,Luna Jones,0.93,Modern,Bronze,29.0,8.0,7757.0,1867,158,No,Elegant,Auctioned in London,18.73,24.29
Contemporary_James_41,James Chessman,0.58,Contemporary,Aluminium,,5.0,71.0,1948,77,No,Expressive,Private Collection,3.53,4.28
Renaissance_George_42,George Trovillion,0.86,Renaissance,Brass,49.0,17.0,196893.0,1900,125,No,Vibrant,Gallery Exhibition,105.16,116.3
Minimalist_Constance_43,Constance Anderson,0.27,Minimalist,,6.0,5.0,355.0,1903,122,No,Rustic,Auctioned in New York,2.68,3.14
Baroque_Rene_44,Rene Anderson,0.17,Baroque,Bronze,20.0,7.0,3669.0,1869,156,No,Rustic,Acquired from Artist,4.97,5.13
Minimalist_Michael_45,Michael Johnson,0.54,Minimalist,Brass,36.0,,61696.0,1868,157,No,Vibrant,Private Collection,43.71,61.6
Renaissance_Verla_46,Verla Vidinha,0.07,Renaissance,Clay,9.0,4.0,74.0,2004,21,Yes,Polished,Auctioned in London,5.85,6.77
Renaissance_Bill_47,Bill Diaz,0.51,Renaissance,Clay,8.0,4.0,215.0,1987,38,Yes,Vibrant,Gallery Exhibition,4.49,6.25
Modern_Elizabeth_48,Elizabeth Garcia,0.59,Modern,,16.0,8.0,4679.0,1861,164,No,Expressive,Private Collection,8.89,10.08
Abstract_Asha_49,Asha Wilson,0.29,Abstract,Clay,24.0,12.0,2443.0,1947,78,No,Polished,Auctioned in London,4.86,5.18
Modern_Alejandro_50,Alejandro Hagan,0.17,Modern,Aluminium,47.0,23.0,5624.0,1921,104,No,Expressive,Auctioned in New York,12.54,19.82
Contemporary_Irene_51,Irene Holland,0.6,Contemporary,Marble,,,160742.0,1863,162,No,Expressive,Gallery Exhibition,413.17,554.72
Abstract_Susan_52,Susan Macdonald,0.98,Abstract,Brass,15.0,7.0,3872.0,1979,46,Yes,Expressive,Private Collection,3.56,5.49
Contemporary_Pauline_53,Pauline Taylor,0.3,Contemporary,Stone,22.0,9.0,345055.0,1903,122,No,Polished,Private Collection,245.8,365.28
Baroque_Gerald_54,Gerald Elliott,0.25,Baroque,Clay,15.0,6.0,553.0,1960,65,Yes,Intricate,Private Collection,2.87,3.03
Abstract_Gary_55,Gary Lamb,,Abstract,Aluminium,39.0,7.0,1073.0,1876,149,No,Intricate,Auctioned in New York,3.09,3.6
Classical_Donald_56,Donald Couture,0.31,Classical,Bronze,7.0,5.0,415.0,1864,161,No,Intricate,Auctioned in New York,5.29,5.75
Minimalist_William_57,William Melgar,0.12,Minimalist,Wood,26.0,,583.0,1979,46,Yes,Elegant,Auctioned in London,3.58,3.5
Abstract_Luanne_58,Luanne Bohr,0.61,Abstract,Stone,31.0,,507253.0,1936,89,No,Rustic,Gallery Exhibition,1229.22,1377.26
Baroque_John_59,John Stapleton,,Baroque,Stone,43.0,13.0,1954301.0,1973,52,Yes,Polished,Museum Deaccession,666.95,839.18
Contemporary_Heidi_60,Heidi Wengel,,Contemporary,Brass,18.0,8.0,5263.0,1888,137,No,Intricate,Museum Deaccession,8.57,7.86
Modern_Maurice_61,Maurice Nickels,0.49,Modern,Stone,7.0,5.0,4736.0,1926,99,No,Vibrant,Museum Deaccession,12.73,18.4
Contemporary_Jody_62,Jody Johnson,0.68,Contemporary,Aluminium,39.0,15.0,3996.0,1922,103,No,Rustic,Gallery Exhibition,7.92,11.76
Abstract_Richard_63,Richard Kelley,0.18,Abstract,Marble,15.0,7.0,16227.0,1997,28,Yes,Intricate,Auctioned in New York,35.47,46.61
Classical_William_64,William Otto,0.38,Classical,Aluminium,44.0,21.0,2663.0,2005,20,Yes,Intricate,Museum Deaccession,4.07,4.43
Abstract_Susan_65,Susan Engle,0.67,Abstract,Stone,34.0,13.0,3151086.0,1887,138,No,Elegant,Auctioned in London,11412.29,10624.83
Classical_Timothy_66,Timothy Mckenzie,0.68,Classical,Stone,15.0,8.0,143739.0,1872,153,No,Intricate,Inherited Estate,372.62,409.34
Renaissance_Kristine_67,Kristine Manuel,0.04,Renaissance,,35.0,17.0,557.0,1991,34,Yes,Rustic,Auctioned in New York,4.41,5.58
Baroque_Albert_68,Albert Rivard,0.81,Baroque,Stone,,3.0,495.0,1869,156,No,Rustic,Auctioned in New York,4.91,6.11
Baroque_Melissa_69,Melissa Shawler,0.65,Baroque,Aluminium,32.0,11.0,2135.0,1939,86,No,Polished,Auctioned in New York,9.65,9.97
Classical_Roger_70,Roger Henderson,0.84,Classical,Brass,18.0,8.0,10381.0,1981,44,Yes,Elegant,Acquired from Artist,17.47,26.1
Modern_Jennifer_71,Jennifer Vera,0.69,Modern,Marble,26.0,12.0,524871.0,2002,23,Yes,Polished,Gallery Exhibition,1716.42,1566.67
Abstract_Charles_72,Charles Plank,0.36,Abstract,Clay,25.0,24.0,14074.0,1931,94,No,Elegant,Private Collection,23.93,34.08
Classical_Shirley_73,Shirley Kelley,0.22,Classical,Brass,8.0,4.0,788.0,1870,155,No,Elegant,Gallery Exhibition,3.87,4.22
Modern_Eloise_74,Eloise Wright,0.11,Modern,Stone,17.0,7.0,133437.0,1921,104,No,Expressive,Auctioned in London,191.21,210.57
Modern_Michael_75,Michael Allbee,,Modern,,25.0,11.0,1849.0,2020,5,Yes,Expressive,Gallery Exhibition,1.93,3.13
Abstract_Hazel_76,Hazel Hodge,0.58,Abstract,Bronze,10.0,4.0,496.0,2017,8,Yes,Elegant,Inherited Estate,3.21,3.06
Renaissance_Shirley_77,Shirley Dwyer,0.17,Renaissance,Clay,18.0,6.0,,2017,8,Yes,Polished,Museum Deaccession,5.09,4.71
Classical_David_78,David Jacobs,0.45,Classical,Brass,9.0,5.0,1247.0,2013,12,Yes,Expressive,Gallery Exhibition,5.2,6.02
Contemporary_Troy_79,Troy Longoria,0.4,Contemporary,Clay,14.0,8.0,,1939,86,No,Minimal,Acquired from Artist,2.82,3.79
Baroque_Willie_80,Willie Blackwell,0.97,Baroque,Wood,30.0,15.0,575.0,1993,32,Yes,Minimal,Museum Deaccession,3.07,4.58
Baroque_Antonio_81,Antonio Rodriguez,0.87,Baroque,Marble,19.0,11.0,250244.0,1895,130,No,Polished,Acquired from Artist,1406.27,1383.56
Modern_Jane_82,Jane Brown,0.93,Modern,,30.0,10.0,1016.0,1987,38,Yes,Elegant,Gallery Exhibition,8.31,9.89
Classical_Dorothy_83,Dorothy Nerad,0.38,Classical,Bronze,12.0,8.0,2112.0,1943,82,No,Rustic,Auctioned in London,3.82,4.16
Modern_Mitchell_84,Mitchell Gates,0.5,Modern,Brass,16.0,6.0,1171.0,1983,42,Yes,Expressive,Private Collection,2.89,3.34
Abstract_Dennis_85,Dennis Rossetti,0.18,Abstract,Clay,15.0,6.0,477.0,1858,167,No,Expressive,Inherited Estate,6.86,6.35
Minimalist_Mike_86,Mike Violette,0.38,Minimalist,Bronze,56.0,17.0,50809.0,1965,60,Yes,Vibrant,Inherited Estate,36.2,47.18
Minimalist_Kenny_87,Kenny Gordon,0.88,Minimalist,Marble,25.0,17.0,768813.0,1991,34,Yes,Intricate,Museum Deaccession,2402.45,3929.77
Classical_Cristina_88,Cristina Putman,0.22,Classical,Wood,23.0,13.0,345.0,1874,151,No,Elegant,Acquired from Artist,4.96,6.23
Minimalist_Bernice_89,Bernice Werth,0.43,Minimalist,Aluminium,,14.0,2851.0,1870,155,No,Rustic,Acquired from Artist,4.48,6.55
Contemporary_Pearl_90,Pearl Tindol,0.49,Contemporary,Clay,16.0,,944.0,1935,90,No,Vibrant,Auctioned in London,5.08,5.49
Baroque_Genevieve_91,Genevieve Dawson,0.88,Baroque,Marble,24.0,15.0,799475.0,1972,53,Yes,Vibrant,Acquired from Artist,2653.28,2896.76
Modern_Tommy_92,Tommy Mcmanus,0.64,Modern,Marble,10.0,4.0,,1892,133,No,Minimal,Museum Deaccession,23.44,31.69
Baroque_Calvin_93,Calvin Rothenbach,0.03,Baroque,Wood,41.0,9.0,494.0,1991,34,Yes,Expressive,Gallery Exhibition,4.53,5.58
Abstract_Lester_94,Lester Flores,0.28,Abstract,Clay,37.0,20.0,9467.0,1938,87,No,Minimal,Acquired from Artist,19.71,20.41
Classical_Charles_95,Charles Decker,,Classical,Brass,35.0,13.0,,1857,168,No,Elegant,Private Collection,81.8,88.84
Contemporary_Taylor_96,Taylor Bodi,0.86,Contemporary,Brass,14.0,7.0,3694.0,1985,40,Yes,Vibrant,Museum Deaccession,7.35,8.3
Classical_Joseph_97,Joseph Forsyth,0.99,Classical,Aluminium,8.0,,149.0,1938,87,No,Elegant,Acquired from Artist,4.75,6.92
Modern_Shanna_98,Shanna Davison,0.27,Modern,Clay,37.0,16.0,7365.0,1950,75,No,Vibrant,Gallery Exhibition,29.14,28.53
Abstract_Richard_99,Richard Ortega,0.42,Abstract,Clay,24.0,17.0,4848.0,2000,25,Yes,Elegant,Acquired from Artist,24.91,32.42
Abstract_Donald_100,Donald Cruz,0.3,Abstract,Aluminium,23.0,10.0,1153.0,1959,66,Yes,Minimal,Gallery Exhibition,3.91,3.71
Contemporary_Jerry_101,Jerry Crump,0.99,Contemporary,Aluminium,30.0,7.0,1104.0,1919,106,No,Elegant,Auctioned in New York,3.73,5.91
Contemporary_Kayla_102,Kayla Monteiro,0.34,Contemporary,Wood,23.0,12.0,450.0,2002,23,Yes,Vibrant,Gallery Exhibition,3.43,4.95
Minimalist_Beverley_103,Beverley Lang,,Minimalist,Stone,13.0,7.0,51068.0,1863,162,No,Polished,Private Collection,126.22,153.97
Modern_Melina_104,Melina Coppola,0.51,Modern,,29.0,10.0,1996.0,2011,14,Yes,Polished,Private Collection,7.8,11.45
Modern_Robert_105,Robert Latham,0.36,Modern,Wood,9.0,5.0,63.0,2006,19,Yes,Elegant,Acquired from Artist,4.28,4.3
Minimalist_Lindsay_106,Lindsay Christie,0.77,Minimalist,Bronze,10.0,5.0,541.0,1879,146,No,Rustic,Inherited Estate,3.8,5.28
Baroque_Elmer_107,Elmer Gomez,,Baroque,Bronze,41.0,9.0,19928.0,1972,53,Yes,Intricate,Museum Deaccession,99.04,121.37
Renaissance_Russell_108,Russell Campbell,0.79,Renaissance,Stone,23.0,8.0,152855.0,2009,16,Yes,Intricate,Private Collection,656.77,647.77
Minimalist_Andre_109,Andre Maynard,0.18,Minimalist,Clay,26.0,6.0,1606.0,1867,158,No,Minimal,Private Collection,5.9,6.56
Baroque_Peggy_110,Peggy Cocks,0.87,Baroque,Stone,7.0,5.0,2125.0,1957,68,Yes,Rustic,Museum Deaccession,5.3,5.22
Abstract_Stella_111,Stella Holden,0.32,Abstract,Clay,41.0,12.0,7830.0,2000,25,Yes,Elegant,Private Collection,15.23,16.23
Contemporary_Justin_112,Justin Zander,0.58,Contemporary,Wood,28.0,17.0,896.0,1924,101,No,Vibrant,Museum Deaccession,3.46,3.32
Classical_Cynthia_113,Cynthia Gallegos,0.03,Classical,Marble,7.0,,2168.0,1867,158,No,Polished,Acquired from Artist,4.73,4.65
Abstract_Kelly_114,Kelly Rubio,0.4,Abstract,Wood,18.0,9.0,322.0,2019,6,Yes,Expressive,Auctioned in London,5.42,5.31
Baroque_Noel_115,Noel Rubio,0.57,Baroque,Wood,4.0,3.0,26.0,1967,58,Yes,Intricate,Auctioned in London,2.33,3.15
Modern_Nicole_116,Nicole Russell,0.41,Modern,Aluminium,19.0,8.0,,1884,141,No,Vibrant,Museum Deaccession,4.54,6.43
Baroque_Gladys_117,Gladys Anderson,0.48,Baroque,Stone,24.0,6.0,59036.0,1856,169,No,Polished,Gallery Exhibition,278.15,319.06
Baroque_Jerry_118,Jerry Riegel,0.69,Baroque,Stone,25.0,14.0,1695010.0,1882,143,No,Minimal,Inherited Estate,5611.95,7351.07
Baroque_Sam_119,Sam Lemoyne,0.41,Baroque,Clay,11.0,8.0,815.0,1903,122,No,Vibrant,Auctioned in New York,3.88,5.52
Abstract_Nicolas_120,Nicolas Godbolt,,Abstract,Bronze,9.0,5.0,653.0,2014,11,Yes,Rustic,Auctioned in London,5.22,5.6
Renaissance_Amanda_121,Amanda Ramos,0.16,Renaissance,,20.0,11.0,2797.0,1926,99,No,Expressive,Private Collection,2.87,3.03
Renaissance_Martha_122,Martha Vega,0.47,Renaissance,Brass,22.0,18.0,18959.0,1990,35,Yes,Elegant,Auctioned in New York,101.59,111.06
Classical_Belinda_123,Belinda Curran,0.46,Classical,Bronze,12.0,8.0,1448.0,1884,141,No,Vibrant,Auctioned in London,9.09,9.85
Abstract_Annie_124,Annie Charron,0.65,Abstract,Bronze,4.0,4.0,78.0,1952,73,Yes,Elegant,Museum Deaccession,2.95,4.63
Modern_Larry_125,Larry Elder,0.32,Modern,Wood,35.0,11.0,491.0,1969,56,Yes,Vibrant,Auctioned in London,3.21,3.35
Minimalist_Pauline_126,Pauline Tejeda,,Minimalist,Bronze,13.0,7.0,3130.0,1862,163,No,Intricate,Private Collection,4.7,6.21
Contemporary_Florentino_127,Florentino Botcher,0.29,Contemporary,Clay,42.0,18.0,14120.0,1947,78,No,Expressive,Museum Deaccession,11.83,12.59
Abstract_Leanne_128,Leanne Prieto,0.95,Abstract,Clay,44.0,15.0,11196.0,1983,42,Yes,Rustic,Acquired from Artist,60.52,61.12
Baroque_Michiko_129,Michiko Plunk,0.86,Baroque,Stone,34.0,11.0,1793759.0,1917,108,No,Intricate,Acquired from Artist,1379.49,1332.42
Baroque_Elizabeth_130,Elizabeth Outman,0.48,Baroque,Aluminium,18.0,9.0,837.0,1921,104,No,Polished,Inherited Estate,1.98,3.12
Renaissance_Loretta_131,Loretta Chung,0.58,Renaissance,,34.0,8.0,463.0,1957,68,Yes,Vibrant,Acquired from Artist,2.61,3.78
Renaissance_Janet_132,Janet Gustafson,,Renaissance,Stone,5.0,3.0,701.0,1945,80,No,Expressive,Gallery Exhibition,6.1,6.7
Renaissance_Michael_133,Michael Vargas,0.62,Renaissance,Wood,28.0,7.0,,1906,119,No,Elegant,Auctioned in London,2.12,3.03
Renaissance_Rebecca_134,Rebecca Dale,0.87,Renaissance,Stone,26.0,8.0,314113.0,1993,32,Yes,Polished,Museum Deaccession,1680.24,1846.84
Contemporary_Matthew_135,Matthew Broberg,0.25,Contemporary,Bronze,19.0,11.0,8648.0,1966,59,Yes,Intricate,Auctioned in London,14.31,17.04
Minimalist_Tammy_136,Tammy Drelick,0.21,Minimalist,,27.0,10.0,23049.0,1954,71,Yes,Vibrant,Museum Deaccession,18.26,16.67
Renaissance_Theresa_137,Theresa Stiles,0.16,Renaissance,Clay,29.0,9.0,,2003,22,Yes,Vibrant,Gallery Exhibition,4.19,6.49
Minimalist_Sherman_138,Sherman Bowers,0.47,Minimalist,Bronze,11.0,7.0,1318.0,1875,150,No,Minimal,Acquired from Artist,2.55,4.15
Baroque_Erin_139,Erin Firestine,0.84,Baroque,,4.0,4.0,43.0,1852,173,No,Polished,Gallery Exhibition,2.13,3.39
Minimalist_Richard_140,Richard Belanger,0.55,Minimalist,Bronze,35.0,18.0,59797.0,1991,34,Yes,Intricate,Private Collection,256.54,238.2
Modern_Elda_141,Elda Miller,0.57,Modern,Stone,7.0,5.0,,1854,171,No,Elegant,Inherited Estate,35.29,41.61
Modern_Andrew_142,Andrew Shifflett,0.54,Modern,Marble,35.0,8.0,278714.0,1942,83,No,Polished,Auctioned in London,359.7,378.41
Abstract_Joyce_143,Joyce Heppner,0.1,Abstract,,7.0,5.0,2666.0,1853,172,No,Rustic,Auctioned in New York,5.52,5.12
Modern_Jan_144,Jan Roth,0.34,Modern,,8.0,,5153.0,1995,30,Yes,Rustic,Gallery Exhibition,7.88,8.92
Minimalist_Georgie_145,Georgie Miles,0.33,Minimalist,Clay,28.0,8.0,,2016,9,Yes,Elegant,Gallery Exhibition,6.06,8.71
Modern_Dennis_146,Dennis Reed,0.25,Modern,Brass,14.0,7.0,5648.0,1931,94,No,Expressive,Auctioned in New York,9.51,10.24
Contemporary_Matthew_147,Matthew Paul,0.35,Contemporary,Brass,32.0,20.0,91529.0,1941,84,No,Minimal,Private Collection,403.26,456.3
Minimalist_Leslie_148,Leslie Leisenring,0.65,Minimalist,Clay,31.0,12.0,4475.0,1874,151,No,Polished,Gallery Exhibition,17.5,27.1
Minimalist_Robert_149,Robert Clements,,Minimalist,Bronze,30.0,8.0,10547.0,1912,113,No,Elegant,Inherited Estate,30.14,38.22
Contemporary_Nicolas_150,Nicolas Matherly,0.22,Contemporary,Brass,16.0,7.0,3330.0,1863,162,No,Polished,Auctioned in New York,7.86,11.22
Classical_John_151,John Dodd,0.58,Classical,Stone,15.0,6.0,44125.0,1991,34,Yes,Elegant,Inherited Estate,69.12,86.41
Abstract_Glady_152,Glady Lund,0.28,Abstract,Stone,3.0,3.0,,1870,155,No,Rustic,Gallery Exhibition,5.86,6.08
Classical_Helen_153,Helen Nguyen,0.74,Classical,,19.0,7.0,929.0,2011,14,Yes,Rustic,Gallery Exhibition,6.23,9.38
Classical_Jess_154,Jess Moore,,Classical,Marble,3.0,2.0,85.0,1964,61,Yes,Elegant,Auctioned in London,5.66,5.64
Classical_Martha_155,Martha Bednarz,0.74,Classical,Clay,23.0,7.0,1404.0,1931,94,No,Intricate,Gallery Exhibition,3.34,5.49
Abstract_Helen_156,Helen Mcbeth,0.37,Abstract,Stone,23.0,10.0,444173.0,1868,157,No,Polished,Auctioned in New York,2302.61,2359.05
Contemporary_Myriam_157,Myriam Mcdonald,0.13,Contemporary,Marble,31.0,12.0,338703.0,1897,128,No,Vibrant,Private Collection,149.52,179.03
Minimalist_Nathan_158,Nathan Copher,0.27,Minimalist,Aluminium,14.0,6.0,335.0,1862,163,No,Elegant,Inherited Estate,4.08,4.15
Contemporary_Jasmine_159,Jasmine Eadie,0.45,Contemporary,Brass,36.0,15.0,110410.0,2004,21,Yes,Intricate,Auctioned in London,119.49,188.57
Renaissance_Eric_160,Eric Smith,0.43,Renaissance,Aluminium,4.0,3.0,32.0,1951,74,Yes,Rustic,Inherited Estate,3.52,4.16
Classical_Ramona_161,Ramona Devos,,Classical,,,6.0,182.0,1987,38,Yes,Minimal,Auctioned in London,4.16,4.01
Abstract_Aaron_162,Aaron Radford,0.17,Abstract,Aluminium,14.0,6.0,393.0,1888,137,No,Polished,Museum Deaccession,6.09,6.33
Modern_Walter_163,Walter Marcus,0.5,Modern,Wood,30.0,20.0,870.0,1864,161,No,Vibrant,Gallery Exhibition,4.6,6.41
Modern_Andrew_164,Andrew Compton,0.43,Modern,Wood,15.0,8.0,163.0,1854,171,No,Expressive,Gallery Exhibition,3.5,3.19
Classical_Terrie_165,Terrie Barnes,0.12,Classical,Stone,24.0,,301767.0,1964,61,Yes,Rustic,Inherited Estate,595.83,715.93
Abstract_Brandon_166,Brandon Bloodworth,0.64,Abstract,Aluminium,12.0,8.0,285.0,1870,155,No,Vibrant,Inherited Estate,3.35,3.62
Renaissance_Jennifer_167,Jennifer Stein,0.41,Renaissance,Wood,16.0,6.0,127.0,1980,45,Yes,Vibrant,Gallery Exhibition,5.45,5.18
Modern_Charles_168,Charles Bell,0.78,Modern,Aluminium,16.0,7.0,267.0,1954,71,Yes,Elegant,Acquired from Artist,2.27,3.19
Contemporary_Ernesto_169,Ernesto Hoskins,0.42,Contemporary,Aluminium,10.0,4.0,57.0,1892,133,No,Polished,Gallery Exhibition,7.08,6.92
Modern_Marshall_170,Marshall Johnson,,Modern,Bronze,41.0,18.0,28778.0,1939,86,No,Minimal,Auctioned in London,105.47,97.34
Baroque_Darrell_171,Darrell Moshier,0.25,Baroque,Bronze,37.0,8.0,13611.0,1953,72,Yes,Rustic,Museum Deaccession,20.44,32.43
Modern_Jean_172,Jean Perry,0.81,Modern,Wood,25.0,7.0,220.0,1975,50,Yes,Polished,Acquired from Artist,2.47,3.2
Baroque_Henrietta_173,Henrietta Bergeron,,Baroque,Wood,14.0,,150.0,1962,63,Yes,Minimal,Auctioned in London,4.76,6.42
Renaissance_Sonia_174,Sonia Ping,0.67,Renaissance,Stone,22.0,8.0,241688.0,1915,110,No,Polished,Auctioned in London,504.31,661.51
Abstract_Nathan_175,Nathan Ross,0.76,Abstract,Aluminium,16.0,6.0,,1858,167,No,Polished,Inherited Estate,3.9,6.19
Baroque_Jennifer_176,Jennifer Leblanc,0.69,Baroque,Bronze,13.0,6.0,1328.0,1965,60,Yes,Intricate,Acquired from Artist,4.63,6.36
Classical_Melissa_177,Melissa Arriaga,0.52,Classical,Stone,6.0,5.0,5741.0,1887,138,No,Expressive,Auctioned in London,28.18,30.53
Abstract_Lori_178,Lori Heath,0.18,Abstract,Wood,20.0,6.0,157.0,1851,174,No,Rustic,Museum Deaccession,5.37,4.98
Contemporary_Sonja_179,Sonja Lott,0.71,Contemporary,Wood,45.0,,832.0,1932,93,No,Minimal,Auctioned in London,3.4,4.33
Contemporary_Vilma_180,Vilma Cruz,,Contemporary,Bronze,13.0,6.0,879.0,1881,144,No,Elegant,Private Collection,6.9,7.08
Renaissance_Dwight_181,Dwight Serviss,0.41,Renaissance,,16.0,,59337.0,1967,58,Yes,Vibrant,Auctioned in New York,43.79,48.13
Contemporary_Shannon_182,Shannon Schultz,0.8,Contemporary,,,20.0,2583679.0,1904,121,No,Polished,Auctioned in London,18961.03,21161.39
Baroque_Priscilla_183,Priscilla Hance,0.11,Baroque,Brass,7.0,4.0,442.0,1886,139,No,Rustic,Auctioned in London,3.76,3.43
Contemporary_Toya_184,Toya Belden,0.81,Contemporary,Brass,33.0,16.0,98883.0,1911,114,No,Rustic,Private Collection,259.45,259.2
Modern_Mark_185,Mark London,0.17,Modern,Wood,27.0,7.0,210.0,1974,51,Yes,Polished,Auctioned in New York,2.39,3.62
